   length	     cost1	     cost2	        cpu1	        cpu2
  1000000	0.00100087	0.00042058	    78125000	    62500000
  1000000	0.00152056	0.00041389	    78125000	    62500000
  1000000	0.00021048	0.00043000	    78125000	    62500000
  1000000	0.00120061	0.00100759	    78125000	    62500000
  1000000	0.00098331	0.00021452	    78125000	    62500000
  1000000	0.00014083	0.00123594	    78125000	    62500000
  1000000	0.00095819	0.00058641	    93750000	    46875000
  1000000	0.00090140	0.00102402	    93750000	    62500000
  1000000	0.00069310	0.00006622	    78125000	    62500000
  1000000	0.00101496	0.00015599	    78125000	    62500000
  1000000	0.00052343	0.00125466	    78125000	    62500000
  1000000	0.00042670	0.00057529	    78125000	    62500000
  1000000	0.00017428	0.00072922	    78125000	    62500000
  1000000	0.00053249	0.00195604	    78125000	    62500000
  1000000	0.00051452	0.00004468	    78125000	    62500000
  1000000	0.00069985	0.00104416	    93750000	    46875000
  1000000	0.00147766	0.00109551	    78125000	    62500000
  1000000	0.00083228	0.00078382	    78125000	    62500000
  1000000	0.00051243	0.00193912	    78125000	    62500000
  1000000	0.00153084	0.00150025	    78125000	    62500000
  1000000	0.00022369	0.00110859	    78125000	    62500000
  1000000	0.00000345	0.00012748	    78125000	    62500000
  1000000	0.00016186	0.00138605	    78125000	    62500000
  1000000	0.00094926	0.00027267	    78125000	    62500000
  1000000	0.00062239	0.00078061	    78125000	    62500000
  1000000	0.00030758	0.00002295	    93750000	    46875000
  1000000	0.00016912	0.00004186	    93750000	    62500000
  1000000	0.00012015	0.00065156	    78125000	    62500000
  1000000	0.00007589	0.00047738	    78125000	    62500000
  1000000	0.00071456	0.00108927	    78125000	    62500000
  1000000	0.00017189	0.00186401	    78125000	    62500000
  1000000	0.00043055	0.00055236	    78125000	    62500000
  1000000	0.00037009	0.00197781	    78125000	    62500000
  1000000	0.00018869	0.00020469	    78125000	    62500000
  1000000	0.00027606	0.00028769	    93750000	    62500000
  1000000	0.00035059	0.00006755	    78125000	    62500000
  1000000	0.00032124	0.00118788	    78125000	    62500000
  1000000	0.00010967	0.00088609	    78125000	    62500000
  1000000	0.00046007	0.00038119	    78125000	    62500000
  1000000	0.00131173	0.00053211	    78125000	    62500000
  1000000	0.00061908	0.00122182	    78125000	    62500000
  1000000	0.00004276	0.00032860	    78125000	    62500000
  1000000	0.00008543	0.00022967	    78125000	    62500000
  1000000	0.00185909	0.00102996	    93750000	    46875000
  1000000	0.00084169	0.00002157	    78125000	    62500000
  1000000	0.00000406	0.00027594	    78125000	    62500000
  1000000	0.00032371	0.00048579	    78125000	    62500000
  1000000	0.00100106	0.00014661	    78125000	    62500000
 10000000	0.00005954	0.00019374	   796875000	   625000000
 10000000	0.00002747	0.00001220	   796875000	   609375000
 10000000	0.00011758	0.00001797	   796875000	   609375000
 10000000	0.00009067	0.00003883	   812500000	   609375000
 10000000	0.00000053	0.00000721	   812500000	   609375000
 10000000	0.00019320	0.00000047	   796875000	   625000000
 10000000	0.00003618	0.00001636	   796875000	   609375000
 10000000	0.00000139	0.00001932	   812500000	   609375000
 10000000	0.00003973	0.00013252	   812500000	   609375000
 10000000	0.00002595	0.00003269	   796875000	   625000000
 10000000	0.00001093	0.00002427	   796875000	   609375000
 10000000	0.00007271	0.00000559	   812500000	   609375000
 10000000	0.00013570	0.00001659	   796875000	   625000000
 10000000	0.00002355	0.00008135	   796875000	   625000000
 10000000	0.00000158	0.00001126	   781250000	   609375000
 10000000	0.00002610	0.00000046	   812500000	   609375000
 10000000	0.00016284	0.00010498	   812500000	   609375000
 10000000	0.00002223	0.00021753	   765625000	   625000000
 10000000	0.00013600	0.00000568	   796875000	   609375000
 10000000	0.00027362	0.00000998	   812500000	   609375000
 10000000	0.00000787	0.00004564	   812500000	   609375000
 10000000	0.00000489	0.00006710	   796875000	   625000000
 10000000	0.00001972	0.00002666	   796875000	   625000000
 10000000	0.00006974	0.00006453	   796875000	   609375000
 10000000	0.00000608	0.00000389	   812500000	   609375000
 10000000	0.00000261	0.00001444	   812500000	   609375000
 10000000	0.00006017	0.00000741	   812500000	   609375000
 10000000	0.00004549	0.00008707	   796875000	   625000000
 10000000	0.00006990	0.00000941	   796875000	   609375000
